path,text,duration,source_id
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS46.8.wav,one,1.37,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS48.4.wav,two,0.70,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS49.2.wav,three,0.88,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS50.4.wav,four,0.62,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS51.3.wav,five,0.52,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS51.9.wav,six,0.39,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS73.8.wav,count them,1.78,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS77.4.wav,just count them,2.42,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS86.7.wav,why is there other,2.53,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS93.9.wav,why do you don't brush your teeth,0.95,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS107.8.wav,i want to count,1.67,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS109.7.wav,one,1.10,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS111.3.wav,two,0.95,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS112.4.wav,three,0.74,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS113.4.wav,four,1.16,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS114.8.wav,five,0.84,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS115.8.wav,six,0.66,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS116.9.wav,seven,0.78,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS117.9.wav,eight,0.53,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS126.9.wav,because i count them,2.24,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS131.9.wav,they're right there,1.28,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS135.9.wav,yes,1.28,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS140.9.wav,how many two,1.28,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS143.9.wav,the cubes,0.90,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS145.2.wav,because i count,1.48,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS148.9.wav,and,1.28,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS152.9.wav,because then you count them to,4.29,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS180.2.wav,everybody knows how to count them,2.98,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS189.9.wav,count,0.77,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS189.9.wav,count,0.77,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS192.9.wav,yes and,1.28,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS197.9.wav,no,1.19,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS218.8.wav,but did the yes count that's how you do it,5.04,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027201__T2027201\blocks_T2027201__T2027201_SS227.1.wav,no. no and no and no,3.18,blocks_T2027201__T2027201
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS28.4.wav,one,1.05,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS31.3.wav,two,1.19,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS33.6.wav,three,1.36,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS36.2.wav,four,1.19,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS38.8.wav,five,1.57,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS41.0.wav,and,1.71,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS43.6.wav,six,1.39,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS46.0.wav,it look like a rocket ship,2.12,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS68.1.wav,one,1.10,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS69.5.wav,two,0.90,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS70.6.wav,three,0.93,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS72.8.wav,four,0.99,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS74.0.wav,five,0.90,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS100.2.wav,does my mom count it,4.60,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS106.1.wav,to ten. and my dad counted to a hundred. my sister came to one and i count to thousand,11.95,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS126.9.wav,the cubes,1.72,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS132.8.wav,because i saw a one hundred cube. and my sister father one cube,7.29,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS143.9.wav,and my dad has one hundred cubes. and my mom has ten cubes,7.58,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS168.4.wav,because i was i count to hundred. and my dad count to a hundred. and my sister count to one. and my mom count to ten,21.69,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS194.0.wav,and because like thousand and my dad likes because my dad likes to go hundred. and my sister likes to one and my mom likes to ten,16.91,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS220.3.wav,who,1.00,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS229.7.wav,because someone,5.21,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027209__T2027209\blocks_T2027209__T2027209_SS243.9.wav,because i was because to what i will be,7.77,blocks_T2027209__T2027209
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS10.5.wav,yes,0.53,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS13.0.wav,yes,0.69,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS18.1.wav,okay. can i count them,3.64,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS38.0.wav,they are six,3.38,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS48.4.wav,okay,0.82,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS52.6.wav,count them. count the cubes and or you can try to guess which number. or you can think in your mind to see which one it is which number is or you can count them in your mind,26.72,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS80.4.wav,no,0.48,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS86.4.wav,because it's another there's more ways to do it,6.15,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS94.3.wav,no,0.80,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS112.3.wav,you can undo it because you can show them if they don't know how to count you can show them how to count or you can show them how to guess the numbers or count in their minds on the fingers,19.36,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS134.3.wav,and no,1.56,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS137.3.wav,no,0.65,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS143.6.wav,because it's another different way and it still helps and it's good,7.06,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027214__T2027214\blocks_T2027214__T2027214_SS152.9.wav,no,0.62,blocks_T2027214__T2027214
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS0.5.wav,yes,0.47,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS5.3.wav,yes,0.58,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS12.9.wav,okay. i can see,1.30,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS17.5.wav,one,1.00,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS18.8.wav,two,0.71,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS19.7.wav,three,0.83,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS20.7.wav,four,0.58,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS21.5.wav,five,0.49,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS22.1.wav,six,0.49,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS27.0.wav,so look,1.27,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS28.7.wav,onetwo,1.42,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS34.2.wav,three,1.01,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS36.6.wav,four,0.99,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS39.6.wav,five,1.12,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS42.1.wav,six,0.68,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS49.4.wav,okay,1.48,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS57.9.wav,i put them to the side and then so i like did it like count them like this because then what if i like counted the one that i started on because i didn't remember. so i put them to the side and then i stacked them and they stick on because one had a hole and one didn't. but at the top it didn't have a hole like basically a bump. and then i stack them. and then i knew that there was six. so that's my best explanation,43.20,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS103.4.wav,no,0.56,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS112.6.wav,because so you don't like let's say you're counting like this. if you don't put them to the side and what if you like accidentally you don't remember that you started. let's say on this cube and then you accidentally like count that one. and then we just like start again because you don't remember which cube we started on or,28.91,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS145.5.wav,no,0.75,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS168.9.wav,so you could like put them up here and then like put them to the side and count like one two three four five six. but don't speed up because then you're like lose count. and let's say you one two zero six and then let's say you mess up and then you like count more like one two three four five six. and then you count like one two three four five six seven eight. it's only a count down. and you can put them on the side or count them like stacking them,32.60,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS211.1.wav,no,0.64,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027215__T2027215\blocks_T2027215__T2027215_SS221.0.wav,because so you don't like confuse yourself. so like let's say you don't do like stack them or put them to the side. you count let's say you just put them right here. and like one two three four five six. but you don't remember what you like started on because you're like counting a long time let's say you count in a long time. and you count which one you started on and you like keep counting. but that's not how much they are,27.07,blocks_T2027215__T2027215
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS20.2.wav,six,0.61,blocks_T2027219__T2027219
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS22.2.wav,six,1.12,blocks_T2027219__T2027219
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS40.5.wav,i count them,1.63,blocks_T2027219__T2027219
..\processed_data\train\blocks_T2027219__T2027219\blocks_T2027219__T2027219_SS55.2.wav,because if i count them i know,3.99,blocks_T2027219__T2027219
